CiteScore metrics calculated using data from 30 April, 2018. SNIP and SJR calculated using data from 30 April, 2018																				
Scopus SourceID	Title	CiteScore	Percentile	Citation Count	Scholarly Output	Percent Cited	SNIP	SJR	RANK	Rank Out Of	Publisher	Type	OpenAccess	Scopus ASJC Code (Sub-subject Area)	Scopus Sub-Subject Area	Quartile	Top 10% (CiteScore Percentile)	Scopus SourceID	Print-ISSN	E-ISSN
26424	Resources, Conservation and Recycling	5.31	97	2628	495	93	2.110	1.462	12	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/26424	09213449	
28978	Journal of Economic Growth	5.27	97	195	37	86	4.092	5.529	14	564	Springer Nature	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28978	13814338	15737020
22697	American Economic Review	5.17	97	4033	780	78	4.642	12.047	15	564	American Economic Association	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22697	00028282	
20650	Journal of Management Studies	5.07	96	775	153	84	2.529	3.804	12	340	Wiley-Blackwell	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20650	00222380	14676486
19696	International Journal of Project Management	5.06	96	2081	411	91	2.791	1.463	13	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19696	02637863	
19482	Econometrica	5.01	97	936	187	88	4.540	19.932	16	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19482	00129682	14680262
24404	Journal of Political Economy	4.93	97	542	110	90	4.136	16.309	17	564	University of Chicago Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24404	00223808	1537534X
19700180841	Surveys in Operations Research and Management Science	4.85	96	97	20	85	4.991	2.725	18	564	Elsevier	Book Series	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19700180841	18767354	
17493	Internet Research	4.72	96	618	131	87	1.928	1.645	19	564	Emerald	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/17493	10662243	
22899	Journal of Consumer Research	4.57	96	965	211	85	2.960	5.856	14	340	Oxford University Press	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22899	00935301	15375277
22899	Journal of Consumer Research	4.57	96	965	211	85	2.960	5.856	20	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22899	00935301	15375277
11600153422	Review of Environmental Economics and Policy	4.54	96	254	56	73	2.506	2.459	21	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/11600153422	17506816	
35048	Food Policy	4.53	96	1492	329	87	2.453	1.950	22	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/35048	03069192	
12277	Management Accounting Research	4.53	98	299	66	83	2.881	1.426	5	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/12277	10445005	10961224
28552	International Small Business Journal	4.48	95	659	147	85	2.170	1.974	15	340	SAGE	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28552	02662426	
18400156711	Cambridge Journal of Regions, Economy and Society	4.46	96	459	103	83	2.069	2.438	23	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/18400156711	17521378	
21149	Leadership Quarterly	4.41	95	957	217	84	2.598	3.130	16	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/21149	10489843	
29400	Journal of World Business	4.38	97	925	211	87	2.171	1.722	6	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29400	10909516	
29400	Journal of World Business	4.38	95	925	211	87	2.171	1.722	17	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29400	10909516	
29838	Journal of Accounting and Economics	4.36	97	510	117	83	3.311	6.875	7	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29838	01654101	
29838	Journal of Accounting and Economics	4.36	95	510	117	83	3.311	6.875	24	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29838	01654101	
130105	Accounting, Auditing and Accountability Journal	4.33	98	676	156	84	1.981	2.187	2	86	Emerald	Journal	NO	2001	Economics, Econometrics and Finance (miscellaneous)	Quartile 1	Top 10%	https://www.scopus.com/sourceid/130105	09513574	
29857	Journal of Accounting Research	4.29	96	425	99	78	3.453	6.957	8	226	Wiley-Blackwell	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29857	00218456	1475679X
29857	Journal of Accounting Research	4.29	95	425	99	78	3.453	6.957	25	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29857	00218456	1475679X
29374	Energy Economics	4.26	95	3456	811	82	1.852	1.916	26	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29374	01409883	18736181
4700152287	Academy of Management Perspectives	4.17	94	446	107	73	2.297	2.946	18	340	Academy of Management	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/4700152287	15589080	19434529
28092	Economic Geography	4.15	95	228	55	82	2.363	2.501	27	564	Taylor & Francis	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28092	00130095	
22750	Journal of Economic Geography	4.14	95	526	127	87	2.634	2.714	28	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22750	14682702	14682710
20290	Ecological Economics	4.13	94	3072	744	86	1.702	1.657	29	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20290	09218009	
19600157901	Journal of Service Management	4.08	99	432	106	90	1.648	1.488	1	77	Emerald	Journal	NO	1401	Business, Management and Accounting (miscellaneous)	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19600157901	17575818	
24204	Review of Economics and Statistics	4.06	94	880	217	85	3.588	7.088	30	564	MIT Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24204	00346535	15309142
20909	Transportation Research, Part E: Logistics and Transportation Review	4.03	94	1779	441	88	1.829	1.901	19	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20909	13665545	
4000148307	Family Business Review	3.99	98	267	67	81	1.848	2.303	2	77	SAGE	Journal	NO	1401	Business, Management and Accounting (miscellaneous)	Quartile 1	Top 10%	https://www.scopus.com/sourceid/4000148307	08944865	
4000148307	Family Business Review	3.99	96	267	67	81	1.848	2.303	9	226	SAGE	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/4000148307	08944865	
21100217630	Strategic Entrepreneurship Journal	3.98	94	259	65	82	1.602	2.712	20	340	Wiley-Blackwell	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/21100217630	19324391	1932443X
21100217630	Strategic Entrepreneurship Journal	3.98	94	259	65	82	1.602	2.712	31	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/21100217630	19324391	1932443X
21100786317	Frontiers in Energy Research	3.98	94	195	49	76	0.937	1.109	31	564	Frontiers Research Foundation	Journal	YES	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/21100786317		2296598X
20246	Journal of Labor Economics	3.94	94	449	114	85	3.069	9.108	33	564	University of Chicago Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20246	0734306X	15375307
22944	Journal of International Marketing	3.94	93	201	51	88	1.898	1.568	21	340	American Marketing Association	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22944	1069031X	15477215
30060	World Development	3.92	94	2884	736	84	2.542	2.122	34	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/30060	0305750X	
19700200701	Annual Review of Economics	3.90	93	320	82	83	3.258	8.370	35	564	Annual Reviews Inc.	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19700200701	19411383	
24202	Review of Economic Studies	3.84	93	353	92	85	3.616	9.589	36	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24202	00346527	1467937X
19700201637	Foundations and Trends in Econometrics	3.80	93	19	5	80	3.155	0.696	37	564	Now Publishers Inc.	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19700201637	15513076	15513084
29104	Small Business Economics	3.78	93	1081	286	88	2.179	1.937	38	564	Springer Nature	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29104	0921898X	15730913
21203	Long Range Planning	3.76	95	421	112	79	2.001	1.711	10	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/21203	00246301	
19691	International Journal of Electronic Commerce	3.74	93	198	53	74	1.695	1.960	22	340	Taylor & Francis	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19691	10864415	
19691	International Journal of Electronic Commerce	3.74	93	198	53	74	1.695	1.960	39	564	Taylor & Francis	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19691	10864415	
26261	Review of International Political Economy	3.53	93	459	130	80	2.072	2.100	40	564	Taylor & Francis	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/26261	09692290	14664526
23715	Science Technology and Human Values	3.44	92	468	136	79	2.477	1.596	41	564	SAGE	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23715	01622439	
28179	Journal of Advertising	3.43	93	432	126	81	2.048	2.251	23	340	Taylor & Francis	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28179	00913367	
23011	Economic Journal	3.43	92	869	253	79	3.090	5.161	42	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23011	00130133	14680297
14704	Technological Forecasting and Social Change	3.42	93	2954	863	78	1.693	1.380	24	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/14704	00401625	
20662	Entrepreneurship and Regional Development	3.40	92	340	100	83	1.375	1.461	25	340	Taylor & Francis	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20662	08985626	14645114
20662	Entrepreneurship and Regional Development	3.40	92	340	100	83	1.375	1.461	43	564	Taylor & Francis	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20662	08985626	14645114
23352	Journal of Environmental Economics and Management	3.39	92	478	141	80	2.323	2.198	44	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23352	00950696	10960449
20633	Journal of International Management	3.37	95	253	75	88	1.432	1.432	11	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20633	10754253	
20633	Journal of International Management	3.37	92	253	75	88	1.432	1.432	26	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20633	10754253	
23714	Marketing Science	3.33	92	560	168	78	2.171	7.580	27	340	Institute for Operations Research and the Management Sciences	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23714	07322399	1526548X
28487	Economic Systems Research	3.31	92	281	85	84	1.344	1.449	45	564	Taylor & Francis	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28487	09535314	14695758
